iter	Passed	Remaining
0	165	165206
1	169	84710
2	172	57234
3	175	43605
4	177	35359
5	181	30074
6	184	26175
7	186	23183
8	190	20935
9	193	19126
10	195	17588
11	197	16258
12	199	15125
13	200	14147
14	202	13312
15	204	12575
16	206	11947
17	208	11382
18	210	10869
19	212	10405
20	214	9991
21	216	9609
22	217	9250
23	220	8969
24	222	8683
25	224	8424
26	226	8170
27	228	7937
28	230	7712
29	232	7528
30	234	7334
31	236	7154
32	238	6981
33	240	6827
34	241	6672
35	243	6518
36	245	6382
37	246	6245
38	248	6112
39	249	5988
40	251	5892
41	253	5785
42	258	5755
43	260	5661
44	262	5570
45	264	5477
46	265	5380
47	266	5286
48	268	5203
49	270	5142
50	272	5062
51	273	4985
52	274	4910
53	275	4834
54	277	4762
55	278	4692
56	279	4625
57	280	4559
58	282	4498
59	284	4463
60	287	4417
61	288	4365
62	289	4310
63	291	4258
64	292	4206
65	293	4155
66	294	4107
67	295	4054
68	298	4026
69	299	3982
70	301	3941
71	302	3901
72	304	3866
73	305	3827
74	307	3788
75	308	3750
76	309	3714
77	312	3692
78	314	3662
79	315	3630
80	317	3599
81	318	3566
82	319	3534
83	321	3503
84	322	3468
85	323	3438
86	324	3403
87	328	3403
88	330	3379
89	331	3350
90	332	3323
91	333	3296
92	335	3273
93	336	3245
94	337	3217
95	339	3192
96	342	3190
97	344	3166
98	345	3140
99	346	3115
100	347	3090
101	347	3061
102	348	3037
103	349	3013
104	350	2990
105	351	2967
106	352	2945
107	353	2923
108	355	2904
109	358	2898
110	359	2877
111	360	2856
112	361	2835
113	362	2815
114	363	2795
115	364	2774
116	365	2759
117	366	2741
118	367	2721
119	368	2702
120	371	2697
121	372	2684
122	373	2664
123	374	2647
124	375	2631
125	376	2615
126	378	2598
127	378	2579
128	379	2563
129	380	2548
130	381	2533
131	383	2519
132	388	2531
133	389	2519
134	391	2507
135	394	2508
136	396	2495
137	396	2479
138	404	2506
139	406	2497
140	408	2487
141	410	2481
142	412	2470
143	413	2458
144	414	2445
145	421	2464
146	422	2452
147	423	2439
148	425	2429
149	426	2418
150	428	2408
151	429	2396
152	435	2409
153	436	2399
154	437	2387
155	439	2376
156	440	2364
157	441	2353
158	442	2342
159	444	2332
160	449	2340
161	450	2330
162	452	2321
163	454	2314
164	455	2307
165	457	2300
166	459	2291
167	467	2313
168	469	2310
169	472	2306
170	473	2297
171	475	2287
172	479	2292
173	480	2282
174	482	2272
175	484	2266
176	485	2256
177	486	2246
178	487	2236
179	488	2226
180	489	2213
181	491	2211
182	494	2207
183	496	2200
184	498	2196
185	500	2190
186	502	2183
187	503	2175
188	505	2167
189	513	2187
190	514	2178
191	515	2169
192	517	2162
193	518	2154
194	520	2146
195	527	2162
196	528	2154
197	529	2145
198	531	2138
199	533	2132
200	534	2124
201	535	2116
202	543	2131
203	544	2124
204	546	2118
205	547	2111
206	549	2103
207	550	2095
208	555	2101
209	557	2095
210	558	2088
211	559	2080
212	561	2072
213	562	2065
214	563	2057
215	564	2049
216	567	2049
217	569	2042
218	570	2035
219	572	2028
220	573	2021
221	574	2014
222	576	2007
223	577	2000
224	578	1993
225	581	1993
226	583	1987
227	584	1980
228	586	1973
229	587	1967
230	588	1960
231	590	1954
232	591	1947
233	592	1940
234	596	1943
235	598	1936
236	599	1930
237	600	1923
238	602	1917
239	603	1911
240	604	1904
241	605	1896
242	606	1889
243	607	1883
244	608	1875
245	611	1873
246	612	1866
247	613	1860
248	614	1853
249	616	1848
250	617	1841
251	617	1834
252	618	1827
253	619	1820
254	621	1814
255	622	1808
256	623	1801
257	624	1794
258	625	1789
259	626	1783
260	627	1776
261	628	1769
262	629	1763
263	630	1756
264	630	1750
265	631	1743
266	632	1737
267	633	1731
268	634	1724
269	635	1718
270	636	1711
271	637	1705
272	638	1700
273	639	1694
274	640	1688
275	641	1682
276	642	1676
277	643	1670
278	644	1664
279	644	1658
280	645	1652
281	646	1646
282	647	1641
283	648	1635
284	649	1629
285	650	1623
286	651	1618
287	652	1613
288	653	1607
289	654	1602
290	655	1596
291	656	1591
292	657	1585
293	657	1580
294	658	1574
295	660	1570
296	661	1565
297	662	1560
298	663	1554
299	663	1549
300	664	1543
301	665	1538
302	666	1533
303	667	1528
304	668	1523
305	669	1518
306	670	1513
307	671	1508
308	672	1503
309	673	1498
310	674	1493
311	675	1488
312	676	1483
313	676	1478
314	677	1473
315	678	1468
316	679	1464
317	680	1459
318	681	1454
319	682	1449
320	683	1445
321	684	1440
322	684	1435
323	685	1430
324	686	1426
325	687	1421
326	688	1417
327	689	1412
328	690	1408
329	691	1403
330	692	1399
331	693	1394
332	693	1390
333	694	1385
334	695	1381
335	696	1376
336	697	1372
337	698	1368
338	699	1363
339	700	1359
340	701	1355
341	702	1351
342	703	1347
343	704	1342
344	704	1338
345	705	1334
346	706	1330
347	707	1326
348	708	1321
349	709	1317
350	710	1313
351	711	1309
352	712	1305
353	713	1301
354	714	1297
355	715	1294
356	716	1290
357	717	1286
358	718	1282
359	719	1278
360	720	1274
361	720	1270
362	721	1266
363	722	1262
364	723	1258
365	724	1254
366	725	1251
367	726	1247
368	727	1243
369	728	1239
370	729	1236
371	730	1232
372	730	1228
373	731	1224
374	732	1221
375	733	1217
376	734	1213
377	735	1209
378	736	1206
379	737	1202
380	737	1198
381	738	1195
382	739	1191
383	740	1188
384	741	1184
385	742	1180
386	743	1177
387	744	1173
388	744	1170
389	745	1166
390	746	1162
391	747	1159
392	748	1155
393	749	1152
394	750	1148
395	750	1145
396	751	1141
397	752	1138
398	753	1134
399	754	1131
400	755	1128
401	756	1125
402	757	1122
403	758	1119
404	759	1115
405	760	1112
406	761	1109
407	762	1105
408	762	1102
409	763	1099
410	764	1095
411	765	1092
412	766	1089
413	767	1086
414	768	1082
415	769	1079
416	770	1076
417	771	1073
418	772	1070
419	772	1067
420	773	1064
421	774	1061
422	775	1057
423	776	1054
424	777	1051
425	778	1048
426	779	1045
427	780	1042
428	780	1039
429	781	1036
430	782	1033
431	783	1030
432	784	1027
433	785	1024
434	786	1021
435	787	1018
436	788	1015
437	789	1012
438	790	1009
439	790	1006
440	791	1003
441	792	1000
442	793	997
443	794	995
444	795	992
445	796	989
446	797	986
447	798	983
448	799	980
449	800	978
450	801	975
451	801	972
452	802	969
453	803	966
454	804	963
455	805	960
456	806	957
457	807	955
458	807	952
459	808	949
460	809	946
461	812	946
462	814	944
463	815	942
464	816	939
465	817	937
466	818	934
467	819	931
468	820	928
469	821	926
470	822	923
471	823	921
472	824	919
473	825	916
474	827	914
475	828	911
476	828	908
477	829	906
478	830	903
479	831	900
480	832	898
481	833	895
482	834	892
483	835	890
484	835	887
485	836	885
486	837	882
487	838	879
488	839	877
489	840	874
490	841	872
491	842	869
492	843	867
493	844	864
494	844	862
495	845	859
496	846	857
497	847	854
498	848	851
499	849	849
500	850	846
501	851	844
502	852	841
503	852	839
504	853	836
505	854	834
506	855	831
507	856	829
508	857	827
509	858	824
510	859	822
511	860	820
512	862	818
513	863	816
514	863	813
515	864	811
516	865	808
517	866	806
518	867	803
519	868	801
520	869	799
521	870	796
522	871	794
523	872	792
524	873	789
525	873	787
526	874	785
527	875	782
528	876	780
529	877	778
530	878	775
531	879	774
532	880	771
533	881	769
534	882	767
535	883	764
536	884	762
537	885	760
538	886	758
539	887	755
540	888	753
541	888	751
542	889	748
543	890	746
544	891	744
545	892	741
546	893	740
547	894	738
548	896	736
549	897	733
550	897	731
551	898	729
552	899	727
553	900	724
554	901	722
555	902	720
556	903	718
557	904	716
558	905	714
559	906	711
560	906	709
561	909	708
562	910	706
563	911	704
564	913	702
565	914	700
566	915	699
567	916	697
568	917	695
569	919	693
570	920	691
571	921	689
572	922	687
573	924	685
574	925	683
575	926	681
576	927	680
577	928	678
578	930	676
579	931	674
580	932	672
581	934	671
582	936	669
583	937	667
584	939	666
585	941	665
586	943	663
587	944	661
588	946	660
589	948	658
590	949	657
591	951	655
592	952	653
593	953	651
594	954	649
595	955	647
596	957	646
597	958	644
598	959	642
599	961	641
600	963	639
601	964	637
602	965	635
603	966	633
604	968	632
605	969	630
606	970	628
607	971	626
608	973	624
609	974	622
610	976	621
611	978	620
612	979	618
613	980	616
614	981	614
615	983	612
616	984	611
617	985	609
618	986	607
619	988	605
620	989	603
